,index,company_name,record_date,fei_number,record_type,state,establishment_type_x,publish_date,excerpt,href,pdf_url,pdf_name,firm_name,establishment_type_y,facility_city,auditors,audit_dates,observations,topic_number,topic_probability
15,205,Pharmaview Inc dba Far Hills Pharmacy,2019-11-14,3005824513,483,New Jersey,Producer of Non Sterile Drug Products,2020-01-16,NaN,/media/134265/download,https://www.fda.gov/media/134265/download,FarHillsPharma508ed,"ir. Jeff Ryzoff, RPh. Pharmacist in Charge     ",EET ADDRESS  FP hAntan Ose     ,"ir. Jeff Ryzoff, RPh. Pharmacist in Charge        ME  OS AO ee og) ee  ","ee SR A a ae ae a ee EE See Se ee ee ee      IGNATURE EMPLOYEE(S) NAME AND TITLE (Print o  Emmanuel J. Ramos Maldonado, C:! ox ne ee)  ",MmVES  ,"ITY, STATE AND ZIP CODE 3edminster, NJ 07921-2605  TYPE OF ESTABLISHMENT INSPECTED Producer of Non-Sterile Drugs  HIS DOCUMENT LISTS OBSERVATIONS MADE BY THE FDA REPRESENTATIVE(S) DURING THE INSPECTION OF YOUR FACILITY. THEY ARE INSPECTIONAL IBSERVATIONS; AND DO NOT REPRESENT A FINAL AGENCY DETERMINATION REGARDING YOUR COMPLIANCE. IF YOU HAVE AN OBJECTION REGARDING AN IBSERVATION, OR HAVE IMPLEMENTED, OR PLAN TO IMPLEMENT CORRECTIVE ACTION IN RESPONSE TO AN OBSERVATION, YOU MAY DISCUSS THE IBJECTION OR ACTION WITH THE FDA REPRESENTATIVE(S) DURING THE INSPECTION OR SUBMIT THIS INFORMATION TO FDA AT THE ADDRESS ABOVE. IF ‘OU HAVE ANY QUESTIONS, PLEASE CONTACT FDA AT THE PHONE NUMBER AND ADDRESS ABOVE.  JURING AN INSPECTION OF YOUR FIRM (1) (WE) OBSERVED:                                                                                  JBSERVATION |  jazardous drugs were compounded without providing adequate containment or cleaning of multi-use equipment O prevent cross-contamination. .  specifically,  Juring the compounding operations observed on 10/29/2019 of Estradiol + Testosterone 0.01% + 0.01% in 30 g, ve notice that once the Estradiol was collected and weighed it was placed on the working surface next to other aw materials without proper containment. Your firm compounds the following hazardous drugs: Progesterone Micro USP Capsules, Biestrogen + Testosterone in Phyto Base, Estradiol + Estriol + Progesterone in HRT, and {stradiol + Progesterone Capsules. In addition, there is a lack of cleaning with an adequate deactivating agent to nsure that residue of hazardous drugs is absent from multi-use equipment such as(b) (4) (b) (4)  b) (4) and plastic syringe.  IBSERVATION 2 Non-Pharmaceutical grade components are use in the formulation of non-sterile drug products. specifically,  a. Non-pharmaceutical grade component (b) (4) was observed on the shelf. This component was used in the formulation of the following non-sterile drug products:  alam Iat 193N071D) nraduced an Inlw 30 9N10 405 Main St TYPE OF ESTABLISHMENT INSPECTED  ~ Riectrnaen + Tectnactarnne in Phuta Race 19 +1 9 harmaview Inc (DOB: Far Hills Pharmacy) TY, STATE AND ZIP CODE edminster, NJ 07921-2605     Producer of Non-Sterile Drugs     - Testosterone in Phyto Base 4mg/ml, lot 190306D, produced on June 03, 2019.  b. There is no assurance that the (b) (4) used as a component in the formulation of non-sterile drug products, complies as pharmaceutical grade (b) (4) . Examples of products produced with this (6) (4) as a component are:  - Pyridoxine Suspension 50mg/ml, lot 193007F, produced on July 30, 2019 - Minoxidil 5% Scalp Solution 30ml, lot 192708G, produced on August 27, 2019. - Aminophyllin in HRT 10% 100mg/g, lot 192709A, produced on September 27, 2019.  ",14,0.41003161668777466
16,207,"Right Value Drug Stores, LLC dba Carie Boyd’s Prescription Shop",2019-11-12,3010589333,483,Texas,Outsourcing Facility,2020-01-16,NaN,/media/134260/download,https://www.fda.gov/media/134260/download,RightValue508ed_0,"Prt yttte VaS Me ly MEME SY SO eS Ye Ht  Boyd's Prescription Shop     CITY, STATE, ZIP CODE, COUNTRY  Irving, TX 75063-2217  ",TYPE ESTABLISHMENT INSPECTED  Outsourcing Facility     ,"Ts? as ee a lle we, hela i ee oN a  Boyd's Prescription Shop  CITY, STATE, ZIP CODE, COUNTRY  Irving, TX 75063-2217     ","CAS e te Aes Page ee Peet eed a a wy  Patty P Kaewussdangkul, Investigator  ",iN DATE(S) OF INSPECTION  10/28/2019-11/12/2019*  ,"Aseptic processing areas are deficient regarding systems for maintaining any equipment used to control the aseptic conditions.  Specifically,  1. Room certifications conducted on June 22, 2019 by a third-party vendor established that the firm’s ISO7/8 classified rooms all met their intended classifications however, room certifications were performed inadequately because they were conducted at rest and not under dynamic conditions to simulate normal routine production. Approximately (b) (4) _ batches of sterile injectable drugs products have been aseptically filled since June 22, 2019 in your ISO7 buffer rooms containing your ISOS hoods.  2. No smoke studies have been conducted to evaluate the unidirectional airflow in the ISOS LAFHs under dynamic conditions. Approximately (b) (4) batches of sterile injectable drug products have been aseptically filled in the ISOS LAFHs.  3. Your firm failed to properly review the positive pressure of the ISO7 anterooms of your hazardous and non-hazardous sterile suites from 8/19/19 to 10/17/2019. Therefore, your firm was not aware of the consistent loss of pressure until 10/17/2019.  ",18,0.5163747668266296
16,207,"Right Value Drug Stores, LLC dba Carie Boyd’s Prescription Shop",2019-11-12,3010589333,483,Texas,Outsourcing Facility,2020-01-16,NaN,/media/134260/download,https://www.fda.gov/media/134260/download,RightValue508ed_0,"Prt yttte VaS Me ly MEME SY SO eS Ye Ht  Boyd's Prescription Shop     CITY, STATE, ZIP CODE, COUNTRY  Irving, TX 75063-2217  ",TYPE ESTABLISHMENT INSPECTED  Outsourcing Facility     ,"Ts? as ee a lle we, hela i ee oN a  Boyd's Prescription Shop  CITY, STATE, ZIP CODE, COUNTRY  Irving, TX 75063-2217     ","CAS e te Aes Page ee Peet eed a a wy  Patty P Kaewussdangkul, Investigator  ",iN DATE(S) OF INSPECTION  10/28/2019-11/12/2019*  ,"Aseptic processing areas are deficient regarding the system for cleaning and disinfecting the room and equipment to produce aseptic conditions.  Specifically,  Your firm does not follow or record the contact times established by your disinfectant efficacy studies required to effectively clean the ISOS LAFH/BSC and ISO7 buffer, ante and preparation rooms. On 10/28/2019, I observed (b) (4) _ cleaning procedures and observed the sterile technician disinfect the ISOS LAFH with (b) (4) and immediately wipe dry with a sterile wipe. Your disinfectant efficacy studies state that contact time for (D) (4)  is (b) (4) . Therefore, there is no assurance that your cleaning process using various sterile cleaning agents are sufficient to achieve adequate levels of disinfection.  ",12,0.9855682849884033
16,207,"Right Value Drug Stores, LLC dba Carie Boyd’s Prescription Shop",2019-11-12,3010589333,483,Texas,Outsourcing Facility,2020-01-16,NaN,/media/134260/download,https://www.fda.gov/media/134260/download,RightValue508ed_0,"Prt yttte VaS Me ly MEME SY SO eS Ye Ht  Boyd's Prescription Shop     CITY, STATE, ZIP CODE, COUNTRY  Irving, TX 75063-2217  ",TYPE ESTABLISHMENT INSPECTED  Outsourcing Facility     ,"Ts? as ee a lle we, hela i ee oN a  Boyd's Prescription Shop  CITY, STATE, ZIP CODE, COUNTRY  Irving, TX 75063-2217     ","CAS e te Aes Page ee Peet eed a a wy  Patty P Kaewussdangkul, Investigator  ",iN DATE(S) OF INSPECTION  10/28/2019-11/12/2019*  ,"Reports of analysis from component suppliers are accepted in lieu of testing each component for conformity with all appropriate written specifications, without performing at least one specific identity test on each component.  Specifically,  Your firm failed to conduct at least one specific identity test for the following drug components in lieu of complete testing when maintaining the supplier’s certificate of analysis:  1. Methylcobalamin, Batch/Lot Number (6)(4) used in Chorionic Gonadotropin/Methyl-B12 1000U/Ime/Iml Injection Lot #09162019@2.  2. Human Chorionic Gonadotropin, USP Batch/Lot Number (6)(4) used in Chorionic Gonadotropin/Methyl-B12 1000U/1mg/1ml Injection Lot #09162019@2.  3. Estradiol (1) (4) . Batch Number (b) (4) used in Estradiol 6mg Pellet, Lot #082819@02. ",15,0.5284130573272705
16,207,"Right Value Drug Stores, LLC dba Carie Boyd’s Prescription Shop",2019-11-12,3010589333,483,Texas,Outsourcing Facility,2020-01-16,NaN,/media/134260/download,https://www.fda.gov/media/134260/download,RightValue508ed_0,"Prt yttte VaS Me ly MEME SY SO eS Ye Ht  Boyd's Prescription Shop     CITY, STATE, ZIP CODE, COUNTRY  Irving, TX 75063-2217  ",TYPE ESTABLISHMENT INSPECTED  Outsourcing Facility     ,"Ts? as ee a lle we, hela i ee oN a  Boyd's Prescription Shop  CITY, STATE, ZIP CODE, COUNTRY  Irving, TX 75063-2217     ","CAS e te Aes Page ee Peet eed a a wy  Patty P Kaewussdangkul, Investigator  ",iN DATE(S) OF INSPECTION  10/28/2019-11/12/2019*  ,"There is a failure to thoroughly review any unexplained discrepancy whether or not the batch has been already distributed.  Specifically,  The Quality Control Unit (QCU) failed to thoroughly review batch production records for any unexplained discrepancy. There were batch production records missing specific identification numbers of major equipment used in production, missing pass/fail of ph calibration check, documentation of start times and stop times, incorrect visual examination reconciliation and lack of documentation of positive pressure of the ISO7 buffer and ISO7 preparation rooms. Batch production records with missing information was reviewed and subsequently released by the firm's QCU.  ",20,0.7624151110649109
16,207,"Right Value Drug Stores, LLC dba Carie Boyd’s Prescription Shop",2019-11-12,3010589333,483,Texas,Outsourcing Facility,2020-01-16,NaN,/media/134260/download,https://www.fda.gov/media/134260/download,RightValue508ed_0,"Prt yttte VaS Me ly MEME SY SO eS Ye Ht  Boyd's Prescription Shop     CITY, STATE, ZIP CODE, COUNTRY  Irving, TX 75063-2217  ",TYPE ESTABLISHMENT INSPECTED  Outsourcing Facility     ,"Ts? as ee a lle we, hela i ee oN a  Boyd's Prescription Shop  CITY, STATE, ZIP CODE, COUNTRY  Irving, TX 75063-2217     ","CAS e te Aes Page ee Peet eed a a wy  Patty P Kaewussdangkul, Investigator  ",iN DATE(S) OF INSPECTION  10/28/2019-11/12/2019*  ,"Procedures describing the handling of all written and oral complaints regarding a drug product are not established and written.  Specifically,  Your firm has a contract with (b) (4) to market, advertise and promote your sterile hormone pellets however, your firm has not established specific written procedures to ensure that all complaint received by (6) @) (b) (4) regarding your sterile hormone pellets are forwarded to your firm. Therefore, your firm may not receive all written or oral complaints related to your sterile hormone pellets that need to be further investigated to determine if there are potential quality issues of your drug products and/or reportable to FDA in the event of an adverse drug reaction.  ",0,0.9826824069023132
16,207,"Right Value Drug Stores, LLC dba Carie Boyd’s Prescription Shop",2019-11-12,3010589333,483,Texas,Outsourcing Facility,2020-01-16,NaN,/media/134260/download,https://www.fda.gov/media/134260/download,RightValue508ed_0,"Prt yttte VaS Me ly MEME SY SO eS Ye Ht  Boyd's Prescription Shop     CITY, STATE, ZIP CODE, COUNTRY  Irving, TX 75063-2217  ",TYPE ESTABLISHMENT INSPECTED  Outsourcing Facility     ,"Ts? as ee a lle we, hela i ee oN a  Boyd's Prescription Shop  CITY, STATE, ZIP CODE, COUNTRY  Irving, TX 75063-2217     ","CAS e te Aes Page ee Peet eed a a wy  Patty P Kaewussdangkul, Investigator  ",iN DATE(S) OF INSPECTION  10/28/2019-11/12/2019*  ,"Poor sterile gowning practices may allow sterile garb to become contaminated. Specifically,  Gowning practices observed on 10/28/2019 by a Sterile Technician and a Quality Control Technician demonstrated that the technicians permit the sterile jump suit to repeatedly touch the floor which may contaminate the sterile jump suit prior to entry of the ISO7 buffer room containing the ISOS LAFH. The practice of allowing the sterile jump suit to repeatedly touch the floor was observed again on 10/29/2019.  ",4,0.9805613160133362
16,207,"Right Value Drug Stores, LLC dba Carie Boyd’s Prescription Shop",2019-11-12,3010589333,483,Texas,Outsourcing Facility,2020-01-16,NaN,/media/134260/download,https://www.fda.gov/media/134260/download,RightValue508ed_0,"Prt yttte VaS Me ly MEME SY SO eS Ye Ht  Boyd's Prescription Shop     CITY, STATE, ZIP CODE, COUNTRY  Irving, TX 75063-2217  ",TYPE ESTABLISHMENT INSPECTED  Outsourcing Facility     ,"Ts? as ee a lle we, hela i ee oN a  Boyd's Prescription Shop  CITY, STATE, ZIP CODE, COUNTRY  Irving, TX 75063-2217     ","CAS e te Aes Page ee Peet eed a a wy  Patty P Kaewussdangkul, Investigator  ",iN DATE(S) OF INSPECTION  10/28/2019-11/12/2019*  ,"Your outsourcing facility has not submitted an adverse event report to FDA in accordance with the content and format requirements established through guidance or regulation under 21 CFR 310.305 as required by section 503B(b)(5).  Specifically,  On 09/26/2019, the firm received an unexpected possible life-threatening adverse drug reaction from the patient's doctor regarding implementation of the following sterile pellets:  1. Sterile Testosterone Pellet 25mg, Lot #102215-02.  2. Sterile Testosterone Pellet 50mg, Lot #101415-02.  3. Sterile Testosterone Pellet 87.5mg, Lot #102215-12. As of 10/31/2019, the adverse event reaction to these drug products have not been reported to FDA within 15 calendar days from 09/26/2019 required.  ",18,0.05990850180387497
16,207,"Right Value Drug Stores, LLC dba Carie Boyd’s Prescription Shop",2019-11-12,3010589333,483,Texas,Outsourcing Facility,2020-01-16,NaN,/media/134260/download,https://www.fda.gov/media/134260/download,RightValue508ed_0,"Prt yttte VaS Me ly MEME SY SO eS Ye Ht  Boyd's Prescription Shop     CITY, STATE, ZIP CODE, COUNTRY  Irving, TX 75063-2217  ",TYPE ESTABLISHMENT INSPECTED  Outsourcing Facility     ,"Ts? as ee a lle we, hela i ee oN a  Boyd's Prescription Shop  CITY, STATE, ZIP CODE, COUNTRY  Irving, TX 75063-2217     ","CAS e te Aes Page ee Peet eed a a wy  Patty P Kaewussdangkul, Investigator  ",iN DATE(S) OF INSPECTION  10/28/2019-11/12/2019*  ,"You compound drugs that are essentially a copy of one or more approved drugs within the meaning of sections 503B(a)(5) and 503(B)(d)(2).  Specifically, you compound drug products that:  a) are identical or nearly identical to an approved drug that is not on the drug shortage list in effect under section 506E at the time of compounding. distribution, and dispensing: or  b) are not identical or nearly identical to an approved drug but contain a bulk drug substance that is also a component of an approved drug, and for which there is no change that produces for an individual patient a clinical difference, as determined by the prescribing practitioner, between the compounded drug and the comparable approved drug.  Examples of compounded drug products that are essentially a copy of one or more approved drugs include:  1. Dyclonine (mint) * Office Use* 0.5% Solution 2. Dyclonine (mint) * Office Use* 1% Solution  ",2,0.9853475093841553
16,207,"Right Value Drug Stores, LLC dba Carie Boyd’s Prescription Shop",2019-11-12,3010589333,483,Texas,Outsourcing Facility,2020-01-16,NaN,/media/134260/download,https://www.fda.gov/media/134260/download,RightValue508ed_0,"Prt yttte VaS Me ly MEME SY SO eS Ye Ht  Boyd's Prescription Shop     CITY, STATE, ZIP CODE, COUNTRY  Irving, TX 75063-2217  ",TYPE ESTABLISHMENT INSPECTED  Outsourcing Facility     ,"Ts? as ee a lle we, hela i ee oN a  Boyd's Prescription Shop  CITY, STATE, ZIP CODE, COUNTRY  Irving, TX 75063-2217     ","CAS e te Aes Page ee Peet eed a a wy  Patty P Kaewussdangkul, Investigator  ",iN DATE(S) OF INSPECTION  10/28/2019-11/12/2019*  ,"Your outsourcing facility has not submitted a report to FDA identifying products compounded during the previous six months as required by section 503B(b)(2)(A). Specifically, the following products were compounded and not identified on your report dated July 3, 2019:  4. HCG Methylcobalamin B12 1000IU Injection  5. Testosterone Pellets- 25mg, 37.5mg, 50mg, 100mg and 200mg  6. Estradiol Pellets- 6mg, 10mg, 12.5mg and 15mg  7. Testosterone/Anastrozole Pellets -75mg/4mg, 100mg/4mg  8. Testosterone cypionate/ Testosterone propionate 200mg/10mg Injection *DATES OF INSPECTION  10/28/2019(Mon), 10/29/2019(Tue), 10/30/2019(Wed), 10/31/2019(Thu), 11/01/2019(Fri), 11/04/2019(Mon), 11/07/2019(Thu), 11/08/2019(Fri), 11/12/2019(Tue)  ",8,0.16872482001781464
17,209,"Blount Discount Pharmacy, Inc.",2020-02-13,3015826061,483,Tennessee,Producer of Non Sterile Drug Products,2020-03-09,NaN,/media/135545/download,https://www.fda.gov/media/135545/download,Blount508ed,"uglas E. Clark, Pharmacist E STRE  YMiecannt Pharmacy Tne 19C  ",REET ADDRESS 29 Gill St.  ,"uglas E. Clark, Pharmacist  =  Miscount Pharmacy. Inc.  ",   NATURE EMPLOYEE(S) NAME AND TITLE (Print  ee Masen AA “AA  ,SSF a ETE ee A eS Oe eee a ee a  1 for medical device observations.  DATE(S) OF INSPECTION  ,"Y, STATE AND ZIP CODE coa. TN 37701  TYPE OF ESTABLISHMENT INSPECTED Non-sterile Drug Product Producer     S DOCUMENT LISTS OBSERVATIONS MADE BY THE FDA REPRESENTATIVE(S) DURING THE INSPECTION OF YOUR FACILITY. THEY ARE INSPECTIONAL SERVATIONS; AND DO NOT REPRESENT A FINAL AGENCY DETERMINATION REGARDING YOUR COMPLIANCE. IF YOU HAVE AN OBJECTION REGARDING AN SERVATION, OR HAVE IMPLEMENTED, OR PLAN TO MPLEMENT CORRECTIVE ACTION IN RESPONSE TO AN OBSERVATION, YOU MAY DISCUSS THE JECTION OR ACTION WITH THE FDA REPRESENTATIVE(S) DURING THE INSPECTION OR SUBMIT THIS INFORMATION TO FDA AT THE ADDRESS ABOVE. IF U HAVE ANY QUESTIONS, PLEASE CONTACT FDA AT THE PHONE NUMBER AND ADDRESS ABOVE.  RING AN INSPECTION OF YOUR FIRM (I) (WE) OBSERVED:  bservation #1 wzardous and highly potent drugs are produced without providing adequate cleaning of work surfaces, utensils, uipment and/or personnel to prevent cross-contamination.  cifically, I observed built-up residue on the scale, stained and nicked spatulas, scratched and cloudy glassware ed to produce non-sterile drug products. You use these same utensils and equipment to manufacture hazardous ugs and non-hazardous types of drugs including but not limited to hormone, Fluorouracil, and opioid products.  bservation #2 yents used for cleaning the laminar flow hood and other equipment between products do not include a activating agent (e.g. oxidizing agent) to prevent cross-contamination.  cifically, the cleaning agents I observed used between batches for equipment and the hood were | | and dish soap only.     bservation #3 n-pharmaceutical grade components are used in the formulation of non-sterile drug products.     ecifically, you use Sodium Hyaluronate, a as components in hormone creams, cough up and suspensions. You do not have adequate documentation to demonstrate these components meet suitability ‘use in non-sterile drug products.  ",14,0.11306668817996979
18,211,"Fusion IV Pharmaceuticals, Inc. dba Axia Pharmaceuticals",2019-12-20,3013341563 ,483,California,Producer of Sterile Drug Products,2020-03-09,NaN,/media/135881/download,https://www.fda.gov/media/135881/download,Fusion508ed,"tMetVil 2V List IAVSUlLweaiwng iilwve MAMA 41H 440 Pharmaceutical     CITY, STATE, ZIP CODE, COUNTRY  Los Angeles, CA 90025-4650  ",TYPE ESTABLISHMENT INSPECTED  Producer of Sterile Drug Products     ,"   Los KNEE, CA 90025-4650  ","Erika V Butler, Investigator  ",iN DATE(S) OF INSPECTION  12/2/2019-12/20/2019*  ,"Buildings used in the manufacture, processing, packing or holding of drug products are not maintained in a clean and sanitary condition.  Specifically, A.  On 12/2/2019, I observed P@l laminar flow bench ‘i with yellow staining on the inside of the ISO-5 laminar flow workstation on the HEPA grid. Aseptic filling of drug products occurs in this LFW. The firm could not provide documentation of the last batches of drug product produced in this laminar flow hood.  B. On 12/2/2019, I observed yellow peeling tape on the aseptic worksurface inside of ISO-5 laminar flow wokstations; . The tape was fraying and half of the yellow tape line was off. The line was being used as a line of demarcation for the aseptic operators. On 12/3/19, Methylprednisolone Acetate lot 12022019+53297 was being filled and  C. On 12/2/2019, I observed a black plastic tube inside the ISO-5 Laminar flow station acting as a particle counter. The black plastic tubing had double sided tape around the top which was  frayed. On 12/3/19, Methylprednisolone Acetate lot 12022019+53297 was being filled and baal)  in this LFw.  ",4,0.9894165396690369
18,211,"Fusion IV Pharmaceuticals, Inc. dba Axia Pharmaceuticals",2019-12-20,3013341563 ,483,California,Producer of Sterile Drug Products,2020-03-09,NaN,/media/135881/download,https://www.fda.gov/media/135881/download,Fusion508ed,"tMetVil 2V List IAVSUlLweaiwng iilwve MAMA 41H 440 Pharmaceutical     CITY, STATE, ZIP CODE, COUNTRY  Los Angeles, CA 90025-4650  ",TYPE ESTABLISHMENT INSPECTED  Producer of Sterile Drug Products     ,"   Los KNEE, CA 90025-4650  ","Erika V Butler, Investigator  ",iN DATE(S) OF INSPECTION  12/2/2019-12/20/2019*  ,"Procedures designed to prevent microbiological contamination of drug products purporting to be sterile are not followed.  Specifically, A.  Observed on 12/3/2019, during the aseptic processing of Methylpredinsolone Acetate batch 12022019+53297, technician dispensed from the ie | bag onto the table top of the laminar flow workstation and use each vial (Theoretical yield ™™ unit vials). Your firm is not followmg your standard operating procedure document number 4.71 titled, “Aseptic Processing Requirements and Technique” which reads in section 7.1.10, “Compounding personnel shall not use a gloved hand to touch any product contact surfaces, but should use appropriately sterilized utensils (e.g., forceps), as needed.”        B.  Observed on 12/11/2019 in the ISO 5 aseptic filling room, aseptic filling operator performed Pee interventions during the ‘it filling of Glutathione batch 12102019+53365 without routinely sanitizing hands. I observed the operator open the cabinet door of the filling machine (ISO 5) and perform interventions at least nissan stopping and starting the machine, dispensing components in the hopper, manipulate capped vials inside the filling machine for approximately a ae period. Your firm is not following your standard operating procedure document number 4.71 tiled, “Aseptic  Processing Requirements and Technique” which reads in section 7.1.11, “Compounding personnel shall change sterile gloves on a frequent basis or disinfect them routinely with OI during prolonged compounding manipulations.”  C.  You did not perform investigations into the root cause of media fill sterility failures for media fill runs performed in ISO 5 Laminar Flow Workstations (LAFWs) from Pe. Turbidity was observed in the solutions. You failed to investigate the root cause for the following media fill failures prior to producing and distributing sterile products. See four examples found below:  1  Run cil (ail syringe); Summary report PO) RPT notes the following fill runs passed:  Resa                   However, the “Summary of Validation Discrepancies” reads “there was a failure noted”. Media fill number @ 5 is noted as failed. Your firm failed to investigate the failure per your SOP 4.80, titled, “Validation Protocol for Aseptic Process Simulations”. It reads in section 9.1.1.1., “Any positive units, deviations, or discrepancies must be investigated and shown to have no impact on the validation. In addition, your firm could not provide the batch production record for this failed trial run  a:  Run Type sail Onl vial); Summary report Ln RPT notes the following media fill runs passed:               The “Summary of Validation Discrepancies” reads “there was a failure noted”. The summary report does not list the failure. However, it was found media fill run me] PRD contained the failure. The batch production record for media fill run PO) POW reads the media solution was aseptically The solution “turned turbid after 2 and was not filled into the vials”. Media fill run was replaced with media fill     Your firm failed to investigate the failure per your SOP 4.80, titled, “Validation Protocol for Aseptic Process Simulations”. It reads in section 9.1.1.1., “Any positive units, deviations, or discrepancies must be investigated and shown to have no impact on the validation.  3. Run Typ validation 2@ 7) filling machine Aseptic Processing Simulation (al vial); Summary report RPT notes the following fill runs passed:      The “Summary of Validation Discrepancies” reads “there was a failure noted”. The summary report does not list the failure. Your firm failed to investigate the failure per your SOP 4.80, titled, “Validation Protocol for Aseptic Process Simulations”. It reads in section 9.1.1.1., “Any positive units, deviations, or discrepancies must be investigated and shown to have no impact on the validation.  4. Run Typ mo vial); Summary report = | RPT notes the following media fill runs  passed:  The “Summary of Validation Discrepancies” reads “there was a failure noted”. The summary report does not list the failure. However, it was found media fill run ) contained the failure. The batch production record for media fill run eee 3) reads “AP has been  cancelled due to turbidity of solution after approximately in room temperature.” Media fill run was replaced with media fill                     Your firm failed to investigate the failure per your SOP 4.80, titled, “Validation Protocol for Aseptic Process Simulations”. It reads in section 9.1.1.1., “Any positive units, deviations, or discrepancies must be investigated and shown to have no impact on the validation.  Failure to perform investigations into the root cause of media fill sterility failures for media fill runs is a repeat objectionable observation listed on the FDA 483 inspection dated March 2017.  D.  All media vials from the Aseptic Process Simulation are not being incubated. For example; the Aseptic  Processing simulations for th ial filler Report ID# details Run POW lot  number III yielded a) ] vials; however onl were incubated.  Run lot numbe ielded Pe only PA vials were incubated. Ruy lot number ielded vials only? vials incubated. Justification provided  in the batch record stated it was due to “space constraints”. Therefore, your firm selected every 20) vial  to be incubated.            EB.  Your firm is not following SOP 3.40 Cleaning and Disinfection in Sterile Compounding Areas, version 4 section 4.3. Quality Unit is responsible for reviewing documentation of the cleaning of the contracted cleaning personnel performing the cleaning of the cleanroom suites and laminar flow workstations. There is no review by signature on they cleaning logs completed by the cleaning contractor for the months of October and November 2019. There is no Check By signature on the an  cleaning logs completed by the cleaning contractor for the months of October and November 2019.  ",20,0.8992762565612793
18,211,"Fusion IV Pharmaceuticals, Inc. dba Axia Pharmaceuticals",2019-12-20,3013341563 ,483,California,Producer of Sterile Drug Products,2020-03-09,NaN,/media/135881/download,https://www.fda.gov/media/135881/download,Fusion508ed,"tMetVil 2V List IAVSUlLweaiwng iilwve MAMA 41H 440 Pharmaceutical     CITY, STATE, ZIP CODE, COUNTRY  Los Angeles, CA 90025-4650  ",TYPE ESTABLISHMENT INSPECTED  Producer of Sterile Drug Products     ,"   Los KNEE, CA 90025-4650  ","Erika V Butler, Investigator  ",iN DATE(S) OF INSPECTION  12/2/2019-12/20/2019*  ,"There is a failure to thoroughly review any unexplained discrepancy and the failure of a batch or any of its components to meet any of its specifications whether or not the batch has been already distributed.  Specifically,  A. Deviation DEV-2018-002 investigation report details a sterility failure for five drug lots. Your firm  invalidated the initial sterility failure without adequate justification to support the probable root cause of analytical lab error and noted no recall was necessary due to no patients had reported adverse events. Furthermore, the investigation did not identify the organisms which caused the contamination to the genus or species level or perform a gram stain per the OOS.  The following are the drug product batches:  Alprostadil 40mcg/Papaverine 30mg/Phentolamine 2 mg; batch lot 02052018+48999  Alprostadil 60mcg/Papaverine 30mg/Phentolamine 2 mg/Atropine 0.15 mg; batch lot 02192018+49094 Alprostadil 60mcg/Papaverine 30mg/Phentolamine 2 mg/Atropine 0.15 mg; batch lot 01152018+48848 Alprostadil 40mcg/Papaverine 25mg/Phentolamine 0.5 mg/Atropine 0.1 mg; batch lot 02212018+49131 Alprostadil 10mcg/Papaverine 30mg/Phentolamine | mg; batch lot 02262018+49157  The batches were quarantined in the MON however, they were inadvertently distributed and sent to customers due to the label being half applied and fell off. The report stated the customers were contacted and notified the samples were under additional testing (Contract lab testing) however, there is no documentation of customers who were contacted and with whom your personnel spoke with. It was also stated in the investigation report “there is no cause for concem or recall necessary as independent testing revealed them to have been clear of contamination. Furthermore, by the time the mistake release had been discovered, no patient had reported any adverse events” The following lots were released and distributed to patients:  Alprostadil 60mcg/Papaverine 30mg/Phentolamine 2 mg/Atropine 0.15 mg; batch lot 02192018+49094 Alprostadil 40mcg/Papaverine 25mg/Phentolamine 0.5 mg/Atropine 0.1 mg; batch lot 02212018+49131  The following lots were rejected:  Alprostadil 40mcg/Papaverine 30mg/Phentolamine 2 mg; batch lot 02052018+48999  Alprostadil 60mcg/Papaverine 30mg/Phentolamine 2 mg/Atropine 0.15 mg; batch lot 01152018+48848 Alprostadil 40mcg/Papaverine 25mg/Phentolamine 0.5 mg/Atropine 0.1 mg; batch lot 02212018+49131  ",0,0.9943972826004028
