Citation Program Area,Cite Id,Reference Number,Short Description,Long Description,Frequency
Drugs,3607,21 CFR 211.160(b)(2),Acceptance of in-process materials,"Determinations of conformance to appropriate written specifications for acceptance are [not made] [deficient] for in-process materials.  Specifically, ***",5
Drugs,3610,21 CFR 211.160(b)(3),Drug product sample,"Drug product samples are not [representative of the entire batch] [properly identified].  Specifically, ***",5
Drugs,4305,21 CFR 211.68(b),Backup data not assured as exact and complete,"Backup data is not assured as [exact] [complete] [secure from alteration, erasure or loss] through keeping hard copy or alternate systems.  Specifically, ***",5
Drugs,4320,21 CFR 211.84(d)(6),Microbiological Contamination Exam,"Each lot of a [component] [drug product container] [closure] that is liable to microbiological contamination that is objectionable in view of its intended use is not subjected to microbiological tests before use.  Specifically, ***",5
Drugs,4338,21 CFR 211.150(b),Recall facilitation,"A system by which the distribution of each lot of drug product can be readily determined to facilitate its recall if necessary, has not been established.  Specifically, ***",5
Drugs,4344,21 CFR 211.160(b)(1),Sampling and testing procedures described,"Written specifications for laboratory controls do not include a description of the [sampling] [testing] procedures used.  Specifically, ***",5
Drugs,4372,21 CFR 211.188(b)(8),Labeling control records including specimens or copies,"Batch production and control records do not include complete labeling control records, including specimens or copies of all labeling used for each batch of drug product produced.  Specifically, ***",5
Drugs,18953,FDCA 501(a)(2)(A),"Actionable microbial contamination, ISO 5 area","You did not make adequate product evaluation and take remedial action where actionable microbial contamination was found to be present in the ISO 5 classified aseptic processing area during aseptic production.  Specifically, ***",5
Drugs,18954,FDCA 501(a)(2)(A),"Actionable microbial contamination, adjacent area","You did not make adequate product evaluation and take remedial action where actionable microbial contamination was found to be present in an area adjacent to the ISO 5 classified aseptic processing area during aseptic production.  Specifically, ***",5
Drugs,18955,FDCA 501(a)(2)(A),"Ceiling tiles, cleanroom","Unsealed, loose ceiling tiles were observed in your cleanroom.  Specifically, ***",5
Drugs,1251,21 CFR 211.42(c)(1),Incoming material area,"Separate or defined areas to prevent contamination or mix-ups are deficient regarding operations related to the receipt, identification, storage, and withholding from use of [components] [drug product containers] [closures] [labeling] pending sampling, testing, or examination by the quality control unit before release for manufacturing or packaging.  Specifically, ***",4
Drugs,1261,21 CFR 211.68(a),Written calibration / inspection records not  kept,"Records of the [calibration checks] [inspections] of  automatic, mechanical or electronic equipment, including computers or related systems are not maintained.  Specifically, ***",4
Drugs,1495,21 CFR 211.122(a),Written procedures describing in detail,"There is a lack of written  procedures describing in sufficient detail the [receipt] [identification] [storage] [handling] [sampling] [examination] [testing] of labeling and packaging materials.  Specifically, ***",4
Drugs,1496,21 CFR 211.122(a),Sampling/testing of labeling/packaging materials,"Labeling and packaging materials are not  [representatively sampled] [examined] [tested] upon receipt and before use in packaging and labeling of a drug product.  Specifically, ***",4
Drugs,1504,21 CFR 211.122(d),Labels and labeling stored  separately ,"Labels and other labeling materials are not stored separately with suitable identification for each different drug product, strength, dosage form or quantity of contents.  Specifically, ***",4
Drugs,1728,21 CFR 211.87,Retest of approved components/containers/closures,"Approved [components] [drug product containers] [closures] are not retested or reexamined as appropriate for identity, strength, quality and purity after [storage for long periods] [exposure to conditions that might have an adverse effect]  with subsequent approval or rejection by the quality control unit.  Specifically, *** ",4
Drugs,1777,21 CFR 211.150(b),Distribution Recall System,"The distribution system is deficient in that each lot of drug product cannot be readily determined to facilitate its recall if necessary.  Specifically,  ***",4
Drugs,1843,21 CFR 211.84(d)(2),Component written specification,"Component testing is deficient in that each component is not tested for conformity with all appropriate written specifications for purity, strength, and quality.  Specifically,  ***",4
Drugs,1849,21 CFR 211.84(d)(6),Objectionable microbiological contamination,"Each lot of a [component] [drug product containers] [closures] liable to objectionable  microbiological contamination is deficiently subjected to microbiological tests before use.  Specifically,  ***",4
Drugs,1886,21 CFR 211.165(c),Sampling and testing plans not described,"Sampling and testing plans for drug products are not described in written procedures which include the [method of sampling] [number of units per batch to be tested].  Specifically, ***",4
Drugs,1917,21 CFR 211.166(a)(1),Sample size - test intervals,"The written stability program for drug products does not include [sample size] [test intervals] based on statistical criteria for each attribute examined to assure valid estimates of stability.  Specifically, ***",4
Drugs,1978,21 CFR 211.182,Personnel  dating/signing equipment log,"The persons [performing] [double-checking] the cleaning and maintenance are not [dating] [signing or initialing] the equipment cleaning and use log.  Specifically, ***",4
Drugs,3562,21 CFR 211.56(c),Written procedures lacking for use of pesticides etc.,"Written procedures are lacking for the use of  [rodenticides] [insecticides] [fungicides] [fumigating agents] [cleaning and sanitizing agents] designed to prevent the contamination of [equipment] [components] [drug product containers] [closures] [packaging, labeling materials] [drug products].  Specifically, ***",4
Drugs,3623,21 CFR 211.170(a),Active ingredient retained sample kept,"A sample which is representative of each lot in each shipment of each active ingredient is not [appropriately identified] [retained].   Specifically, ***",4
Drugs,4324,21 CFR 211.110(b),In-process materials specifications testing,"Examination and testing of samples is not done to assure that in-process materials conform to specifications.  Specifically, ***",4
Drugs,4350,21 CFR 211.160(b)(3),Drug products-sampling procedures/specifications,"Laboratory controls do not include a determination of conformance to [written descriptions of sampling procedures] [appropriate specifications] for drug products.  Specifically, ***",4
Drugs,4360,21 CFR 211.170(b),Reserve drug product sample quantity - all tests,"The reserve sample of drug product does not consist of at least twice the quantity necessary to perform all the required tests of drug product.  Specifically, ***",4
Drugs,4386,21 CFR 211.198(b),Written complaint record  to be maintained at facility,"A written record of each complaint is not maintained in a file designated for drug product complaints [at the facility where the drug product was manufactured, processed or packed] [at a facility other than the facility in which the drug product was manufactured, processed or packed provided the written records are readily available for inspection at that other facility].  Specifically, *** ",4
Drugs,4387,21 CFR 211.198(a),Reporting of adverse drug experience to FDA,"Written procedures describing the handling of all written and oral complaints do not include provisions for review to determine whether the complaint represents a serious and unexpected adverse drug experience which is required to be reported to the Food and Drug Administration.  Specifically, ***",4
Drugs,17849,21 CFR 212.60(a),Testing procedures,"Each laboratory used to conduct testing of [components] [in-process materials] [finished PET drug products] does not [have] [follow] written procedures [for the conduct of each test] [for the documentation of the results].  Specifically, ***",4
Drugs,18009,FDCA 503B(a)(10),"Container label, outsourcer facility","The container labels of your outsourcing facility's drug products are deficient.  Specifically,***",4
Drugs,18937,FDCA 501(a)(2)(A),"Beta-lactam drugs, inadequate sanitation","You produced beta-lactam drugs without providing adequate [containment] [segregation] [cleaning of work surfaces] [cleaning of utensils] [cleaning of personnel] to prevent cross-contamination.  Specifically, ***",4
Drugs,18944,FDCA 501(a)(2)(A),Exposure of personnel in aspectic processing,"Personnel engaged in aseptic processing were observed with [exposed hands] [exposed wrists] [exposed legs] [exposed hair] [exposed mouth].  Specifically, ***",4
Drugs,18963,FDCA 501(a)(2)(A),"Inadequate HEPA filter, sterile product area","You had inadequate HEPA filter [coverage] [airflow] over the area to which sterile product was exposed.  Specifically, ***",4
Drugs,21284,FDCA 501(a)(2)(A),Disinfectant contact time,"Disinfectant contact time (also known as ""dwell time"") and coverage of the item being disinfected were insufficient to achieve adequate levels of disinfection.  Specifically, ***",4
Drugs,1086,21 CFR 211.22(b),Adequate lab facilities not available ,"Adequate lab facilities for testing and approval or rejection of [components] [drug product containers] [closures] [packaging materials] [in-process materials] [drug products] are not available to the quality control unit.  Specifically, ***",3
Drugs,1396,21 CFR 211.42(c)(2),Rejected Material Area,"Separate or defined areas to prevent contamination or mix-ups are deficient regarding operations related to the holding of rejected [components] [drug product containers] [closures] [labeling] before disposition.  Specifically,***",3
Drugs,1413,21 CFR 211.42(c)(5),Mfg / Processing Operations Area,"Separate or defined areas to prevent contamination or mix-ups are deficient regarding the manufacturing and processing operations.  Specifically, ***",3
Drugs,1629,21 CFR 211.130(a),"Prevention of cross contamination, mix-ups","There is insufficient physical or spatial separation from operations and other drug products to prevent mix-ups and cross-contamination.  Specifically, *** ",3
Drugs,1724,21 CFR 211.134(b),Representative samples after completion,"Samples of representative units were not [collected] [visually examined] for correct labeling at the completion of finishing operations.  Specifically, ***",3
Drugs,1725,21 CFR 211.134(c),Examinations documented,"The results of the examination of the packaged and labeled products were not documented in the batch production or control records.  Specifically, ***",3
Drugs,1770,21 CFR 211.137(d),Expiration date location on labeling,"Drug product expiration dates do not appear on the labeling in the manner prescribed by regulations.  Specifically, ***",3
Drugs,1803,21 CFR 211.84(b),Representative Samples Criteria,"The [number of containers to be sampled] [amount of material taken from each container] is not based upon appropriate criteria.  Specifically, ***",3
Drugs,1869,21 CFR 211.94(c),"Containers & Closures Clean, Sterilized, Pyrogen-free","Drug product [containers] [closures] were not [clean] [sterilized and processed to remove pyrogenic properties] to assure that they are suitable for their intended use.  Specifically, ***",3
Drugs,1918,21 CFR 211.166(a)(2),Stability sample storage conditions described,"The written stability program for drug products does not describe the storage conditions for samples retained for testing.  Specifically, ***",3
Drugs,1928,21 CFR 211.166(c)(1),"Homeopathic drugs, assessment of stability","There is no written assessment of stability of homeopathic drug products based at least on [testing or examination of the drug product for compatibility of the ingredients] [marketing experience with the drug product to indicate that there is no degradation of the product for the normal or expected period of use].  Specifically, ***",3
Drugs,2001,21 CFR 211.184(b),Component Test Records,"The [component] [drug product container] [closure] [labeling] records do not include the [results of tests or examinations performed] [the conclusions derived from tests or examinations performed].  Specifically, ***",3
Drugs,2004,21 CFR 211.184(d),Labeling: documentation of exam and review,"There is no documentation of the examination and review of labels and labeling for conformity with [established specifications] [the assigning of a lot or control number].  Specifically, ***",3
Drugs,2007,21 CFR 211.186(a),Signature and checking of records -- 2 persons,"The master production and control records for each batch size of drug product are not  [prepared, dated, and signed by one person with a full handwritten signature] [independently checked, dated, and signed by a second person].  Specifically, ***",3
Drugs,2399,21 CFR 211.194(a)(2),Laboratory Test Method Verification,"Verification of the suitability of the testing methods is deficient in that they are not [performed under actual conditions of use] [documented on the laboratory records].  Specifically, ***",3
Drugs,2420,21 CFR 211.198(a),Quality Control Review,"Complaint procedures are deficient in that they do not include provisions that allow for the review and determination of an investigation by the quality control unit.  Specifically, ***",3
Drugs,3557,21 CFR 211.52,Washing and toilet facilities are deficient,"Washing and toilet facilities lack [hot and cold water] [soap or detergent] [air driers or single-service towels] [cleanliness].  Specifically, ***",3
Drugs,3561,21 CFR 211.56(b),Written sanitation procedures lacking,"There is a lack of written procedures [assigning responsibility] [providing cleaning schedules] [describing in sufficient detail the methods, equipment and materials to be used] for sanitation.  Specifically, ***   ",3
Drugs,4345,21 CFR 211.160(b)(1),"Samples (various types) representative, identified properly","Samples taken to determine conformance to appropriate written specifications for the acceptance of each lot within each shipment of [components] [drug product containers] [closures] [labeling] are not [representative] [adequately identified].  Specifically, ***",3
Drugs,4351,21 CFR 211.160(b)(3),"Drug products - samples representative, identified properly","Samples taken of drug products for determination of conformance to written specifications are not [representative] [properly identified].  Specifically, ***",3
Drugs,4355,21 CFR 211.165(c),Sampling and testing plans not followed,"Written procedures for sampling and testing plans are not followed for each drug product.  Specifically, ***  ",3
Drugs,4366,21 CFR 211.188(a),Accurate reproduction included,"Batch production and control records for each batch of drug product produced do not include an accurate reproduction of the appropriate master production or control record which was  checked for accuracy, dated and signed.  Specifically, ***
",3
Drugs,4404,21 CFR 211.194(a)(1),Sample identification and other information,"Laboratory records do not include [a description of the sample received for testing] [the source or location from where the sample was obtained] [the quantity of the sample] [the lot number or other distinctive code of the sample] [the date the sample was taken] [the date the sample was received for testing].  Specifically, *** ",3
Drugs,6831,21 CFR 314.80(c)(2),Late submission of quarterly safety reports,"Not all quarterly periodic adverse drug experience reports have been submitted within 30 days of the close of the quarter.  Specifically, ***",3
Drugs,6832,21 CFR 314.80(c)(2),Late submission of annual safety reports,"Not all annual periodic adverse drug experience reports have been submitted within 60 days of the anniversary date of the approval of the application.  Specifically, ***",3
Drugs,10022,21 CFR 310.305(a),Failure to develop written procedures,"Written procedures have not been developed for the [surveillance] [receipt] [evaluation] [reporting to FDA] of postmarketing adverse drug experiences. Specifically, ***",3
Drugs,17962,21 CFR 361.1(c)(2),Numerical votes not in the minutes of any RDRC meetings,"The minutes of an RDRC meeting did not include the numerical results of votes on protocols involving use in human subjects.  Specifically, ***",3
Drugs,18972,FDCA 501(a)(2)(A),"Inadequate sporicidal agents, cleanroom and ISO 5 area","The use of sporicidal agents in the [cleanrooms] [ISO 5 classified aseptic processing] area was [inadequate] [infrequent].  Specifically, ***",3
Drugs,21294,21 CFR 211.110(b),"In-process specification, invalid","Your in-process specifications for sampling and testing of in-process materials and drug products [were inconsistent with drug product final specifications] [were not derived from previous acceptable process average and process variability estimates] [were not determined by the application of suitable statistical procedures].  Specifically, ***",3
Drugs,1134,21 CFR 211.25(b),Supervisor Training/Education/Experience,"Individuals responsible for supervising the [manufacture] [processing] [packing] [holding] of a drug product lack the  [education] [training] [experience] to perform their assigned functions in such a manner as to assure the drug product has the safety, identity, strength, quality and purity that it purports or is represented to possess.  Specifically, ***",2
Drugs,1163,21 CFR 211.28(b),Habits of good sanitation & health ,"Production personnel were not practicing good sanitation and health habits.  Specifically, ***",2
Drugs,1224,21 CFR 211.67(b)(6),Cleaning SOP/inspection,"Procedures for the cleaning and maintenance of equipment are deficient regarding inspection of the equipment for cleanliness immediately before use.  Specifically, ***",2
Drugs,1266,21 CFR 211.42(d),Penicillin processing area not  kept separate,"The operations relating to the [manufacture] [processing] [packing] of penicillin are not performed in facilities separate from those used for other drug products for human use.  Specifically,  ***",2
Drugs,1411,21 CFR 211.105(b),Distinctive ID or code not recorded in batch record,"The batch records do not record the distinctive [identification number] [code] [name of equipment]  to identify major equipment to show the specific equipment used in the manufacture of a batch of a drug product.  Specifically, ***",2
Drugs,1418,21 CFR 211.42(c)(7),Quarantined Drug Products Area,"Separate or defined areas to prevent contamination or mix-ups are deficient regarding operations related to the quarantine storage of drug products prior to release.  Specifically, ***",2
Drugs,1420,21 CFR 211.42(c)(9),Control / Lab Operations Area,"Separate or defined areas to prevent contamination or mix-ups are deficient regarding laboratory controls and operations.  Specifically, ***",2
Drugs,1431,21 CFR 211.42(c)(10)(ii),Temperature / Humidity Controls,"Aseptic processing areas are deficient regarding [temperature] [humidity]  controls.  Specifically, ***",2
Drugs,1632,21 CFR 211.130(c),Lot or control number assigned,"The drug product is not identified with a lot or control number that permits the determination of the history of the manufacture and control of the batch.  Specifically, ***",2
Drugs,1636,21 CFR 211.130(e),Packaging line inspection before use,"Inspection of the [packaging] [labeling] facilities immediately before use is not done to assure that all drug products have been removed from previous operations.  Specifically, ***",2
Drugs,1722,21 CFR 211.134(a),Correct labels during finishing operations,"Packaged and labeled products are not examined during finishing operations to provide assurance that containers and packages in the lot have the correct label.  Specifically, ***",2
Drugs,1768,21 CFR 211.137(b),Storage conditions,"Drug product expiration dates are not related to the storage conditions stated on the labeling, as determined by stability studies.  Specifically, ***",2
Drugs,1774,21 CFR 211.142(a),Quarantine - actual practice,"Drug products are not quarantined before being released by the quality control unit.  Specifically, ***",2
Drugs,1796,21 CFR 211.80(d),Identification of Each Lot in Each Shipment,"Each lot in each shipment received was not identified with a distinctive code for each container or grouping of containers for [components] [drug product containers] [closures].  Specifically, *** ",2
Drugs,1798,21 CFR 211.82(b),Quarantine Storage of Components,"Incoming [components] [drug product containers] [closures] are not stored under quarantine until they have been tested or examined, as appropriate, and released.  Specifically, ***",2
Drugs,1846,21 CFR 211.84(d)(3),Establish reliability of supplier's C of A,"Establishment of the reliability of the [container] [closure] supplier's report of analyses is deficient in that the test results are not appropriately validated at appropriate intervals.  Specifically, ***",2
Drugs,1876,21 CFR 211.180(b),Record maintenance 1 year (except exempt OTC),"All records of [production] [control] [distribution] [components] [drug product containers] [closures] [labeling] associated with a batch of drug product were not maintained at least one (1) year after the expiration date.  Specifically, ***",2
Drugs,1999,21 CFR 211.184(a),Record information required,"The records for [components] [drug product containers or closures] [labeling]  do not include the [identity and quantity of each shipment of each lot] [name of the supplier] [supplier's lot number]  [receiving code] [date of receipt] [name of the prime manufacturer if different from the supplier] [location of the prime manufacturer].  Specifically, ***",2
Drugs,2005,21 CFR 211.184(e),Records of disposition of rejected material,"Records do not include the disposition of rejected [components] [drug product containers] [closures] [labeling].  Specifically, ***",2
Drugs,2022,21 CFR 211.188(b)(10),Documentation of Sampling Performed,"The batch production and control records are deficient in that they do not include documentation of sampling performed.  Specifically, ***",2
Drugs,2044,21 CFR 211.196,Distribution Record Requirements,"Distribution records do not contain the [name and strength of the drug product] [description of dosage form] [name and address of consignee] [date and quantity shipped] [lot or control number of drug product].  Specifically, ***",2
Drugs,2397,21 CFR 211.194(a)(1),Description and Identification of Samples,"Laboratory records are deficient in that they do not include a [description and identification of the sample received] [quantity] [lot number] [date sample taken] [date sample received for testing].  Specifically, ***",2
Drugs,2404,21 CFR 211.194(a)(6),Comparison of Test Results to Specifications,"Laboratory records are deficient in that they do not include a statement of the results of tests and how they compare to the established [specifications] [standards].  Specifically, ***",2
Drugs,2405,21 CFR 211.194(a)(7),Identification of Person Performing the Testing,"Laboratory records are deficient in that they do not include the [initials] [signature] of the person performing the tests and the dates the tests were performed.  Specifically, ***",2
Drugs,2567,21 CFR 211.198(a),Adverse Drug Experience,"Complaint procedures are deficient in that they do not include provisions that allow for the review to determine if the complaints represent [serious] [unexpected adverse drug experiences] which are required to be reported to FDA. Specifically, ***",2
Drugs,3545,21 CFR 211.44,Adequate lighting not provided,"Adequate lighting is not provided in all  areas.  Specifically, ***",2
Drugs,3546,21 CFR 211.46(a),Adequate ventilation not provided,"Adequate ventilation is not provided.  Specifically, ***",2
Drugs,3549,21 CFR 211.46(c),Air recirculation of dust from production areas,"Air is recirculated to production areas, without adequate measures to control recirculation of dust.  Specifically, ***",2
Drugs,3591,21 CFR 211.110(b),In-process materials specifications,"In-process specifications are not [consistent with drug product final specifications] [derived from previous acceptable process average and process variability estimates where possible] [determined by the application of suitable statistical procedures where appropriate].  Specifically, ***",2
Drugs,3592,21 CFR 211.110(c),In-process materials characteristics testing,"In-process materials are not tested for [identity] [strength] [quality] [purity] and approved or rejected by the quality control unit [during the production process] [after storage for long periods]. Specifically, ***",2
Drugs,3594,21 CFR 211.110(d),Rejected in-process materials not quarantined,"Rejected in-process materials are not [identified] [controlled under a quarantine system] to prevent their use in manufacturing or processing operations for which they are unsuitable.  Specifically, ***",2
Drugs,3604,21 CFR 211.160(b)(1),Determination of conformance,"Determinations of conformance to appropriate written specifications for acceptance are deficient in that they are not made for each lot within each shipment of [components] [drug product containers] [closures] [labeling] used in the manufacture, processing, packing or holding of drug products.   Specifically, ***",2
Drugs,3614,21 CFR 211.160(b)(4),Written calibration procedures,"Written calibration procedures for instruments, apparatus, gauges, and recording devices are deficient in that they do not include specific [directions] [schedules] [limits for accuracy and precision] [provisions for remedial action if limits are not met].  Specifically, ***",2
Drugs,3615,21 CFR 211.160(b)(4),Test devices not meeting specifications,"Test devices are deficient in that [instruments] [apparatus] [gauges] [recording devices] not meeting established specifications are used.  Specifically, ***",2
Drugs,3639,21 CFR 211.204,Returned drug procedures in writing and followed,"Procedures describing the [holding] [testing] [reprocessing] of returned drug products are not [in writing] [followed].  Specifically, ***",2
Drugs,4307,21 CFR 211.80(d),Status of Each Lot Identified,"Each lot of [components] [drug product containers] [closures] was not appropriately identified as to its status in terms of being quarantined, approved or rejected.  Specifically, ***",2
Drugs,4316,21 CFR 211.84(d)(3),Testing Containers & Closures Conformity with Specs,"Containers and closures are not tested for conformance with all appropriate written procedures.  Specifically, ***",2
Drugs,4325,21 CFR 211.110(a),Control procedures fail to include the following,"Control procedures fail to include [tablet or capsule weight variation] [disintegration time] [adequacy of mixing to assure uniformity and homogeneity] [dissolution time and rate] [clarity, completeness or pH of solutions].  Specifically,***",2
Drugs,4328,21 CFR 211.122(a),Written procedures not followed,"Written procedures for the [receipt] [identification] [storage] [handling] [sampling] [examination] [testing] of packaging and labeling materials are not followed.  Specifically, ***",2
Drugs,4336,21 CFR 211.150,Written distribution procedure,"Written distribution procedures are not [established] [followed].  Specifically, ***",2
Drugs,4343,21 CFR 211.160(b)(1),Incoming lots - conformance to written specs-,"Laboratory controls do not include determination of conformance to appropriate written specifications for the acceptance of each lot within each shipment of [components] [drug product containers] [closures] [in-process materials] [labeling] [drug products] used in the manufacture, processing, packing, or holding of drug products.  Specifically, ***",2
Drugs,4354,21 CFR 211.165(d),Acceptance/Rejection Levels,"The statistical quality control criteria fail to include appropriate [acceptance levels] [rejection levels].  Specifically, ***",2
Drugs,4369,21 CFR 211.188(b)(11),"Identification of persons involved, each significant step","Batch production and control records do not include the identification of the persons [performing] [directly supervising] [checking] each significant step in the operation, for each batch of drug product produced.  Specifically, ***",2
Drugs,4375,21 CFR 211.188(b)(5),In-process and laboratory control results ,"Batch production and control records do not include [in-process] [laboratory control] results for each batch of drug product produced.  Specifically, ***",2
Drugs,4380,21 CFR 211.198(b)(3),Determination not to conduct investigation of complaint,"The written record did not include the [reason an investigation was found not to be necessary] [name of the responsible person making the determination not to conduct an investigation] when an investigation into [unexplained discrepancies] [the failure of a batch or any of its components to meet specifications] was not conducted.  Specifically, *** ",2
Drugs,6829,21 CFR 314.80(c)(2),Failure to report non-alert ADEs,"Individual ADEs which were not reported to FDA in a post marketing 15-day alert have not been included in a periodic safety report.  Specifically, ***",2
Drugs,6835,21 CFR 314.80(d),Failure to submit scientific article,"A postmarketing 15-day Alert report based upon scientific literature was not accompanied by a copy of the published article.  Specifically, ***",2
Drugs,6842,21 CFR 314.80(j),Failure to maintain records,"You failed to maintain for a period of 10 years records of all adverse drug experiences known to you, including raw data and any correspondence.  Specifically, ***",2
Drugs,8912,21 CFR 314.81(b)(2),Timely submission,"An annual report was not submitted [each year] [within 60 days of the anniversary date of U.S. approval of the application] to the FDA division responsible for reviewing the application.   Specifically, ***",2
Drugs,17723,21 CFR 212.10,Personnel not qualified,"You lack [a sufficient number of] personnel with the necessary [education] [background] [training] [experience] to perform their assigned functions.  Specifically, ***",2
Drugs,17813,21 CFR 212.50(a),Written control procedures,"You did not have written production and process control procedures to [ensure] [document] that [all key process parameters are controlled] [any deviations from the procedures are justified].  Specifically,***",2
Drugs,17853,21 CFR 212.60(d),Supplies adequately controlled,"Your [identity] [purity] [quality] of [reagents] [solutions] [supplies] used in your testing procedures are not adequately controlled.  Specifically, ***",2
Drugs,17855,21 CFR 212.60(e),Equipment,"All equipment used to perform the testing is not [suitable for its intended purposes] [capable of producing valid results].  Specifically,***",2
Drugs,17863,21 CFR 212.60(g)(3),Complete record of all laboratory test data,"Laboratory test records did not contain a complete record of all data obtained in the course of each test, including [the date and time the test was conducted] [all graphs, charts, and spectra from laboratory instrumentation, properly identified to show the specific component, in-process material, or drug product for each lot tested].  Specifically, ***",2
Drugs,17865,21 CFR 212.60(g)(5),"Initials, signature, date","Laboratory test records did not contain the initials or signature of the person performing the test. Specifically,***",2
Drugs,17898,21 CFR 212.71(c),Correction of problems,"You did not take [appropriate] action to correct any identified problems to prevent recurrence of a nonconforming product or other quality problem.  Specifically,***",2
Drugs,17958,21 CFR 361.1(c)(2),Signatures of RDRC Chairman,"The RDRC Chairman did not sign all [applications] [minutes] [reports] of the committee.  Specifically, ***",2
Drugs,18948,FDCA 501(a)(2)(A),Disruption of airflow from personnel movement,"Personnel moved rapidly in the vicinity of [open sterile units] [instruments], which disrupted the airflow and increased the risk of bringing lesser quality air into the ISO 5 classified aseptic processing area.  Specifically, ***",2
Drugs,18949,FDCA 501(a)(2)(A),"First pass air blockage, open unit with sterile product","Personnel [conducted aseptic manipulations] [placed equipment/supplies] in an area that blocked the movement of first pass air around an open unit, either before or after it was filled with sterile product.  Specifically, ***",2
Drugs,18966,FDCA 501(a)(2)(A),"Non-sterilized and non-depyrogenated, sterile drug","[Non-sterilized] [Non-depyrogenated] equipment was used in sterile drug production.  Specifically, ***",2
Drugs,18971,FDCA 501(a)(2)(A),"No sporicidal agents, cleanroom and ISO 5 area","Sporicidal agents were not used in your facility's cleanrooms and/or ISO 5 classified aseptic processing area.  Specifically, ***",2
Drugs,21296,21 CFR 211.186(a),"Master production and control records, batch uniformity","Your master production and control records for each drug product were not [prepared, dated, and signed by one person] [independently checked, dated, and signed by a second person].  Specifically, ***",2
Drugs,21297,21 CFR 211.186(a),"Master production and control records, procedure","The preparation of your master production and control records was not [described in a written procedure] [followed in accordance with your written procedure].  Specifically, ***",2
Drugs,1164,21 CFR 211.28(c),Unauthorized Personnel in Limited Access Areas,"Unauthorized personnel have access to enter areas of the buildings and facilities designated as limited access areas.  Specifically, ***",1
Drugs,1388,21 CFR 211.101(d),Component addition checked by 2nd person,"Each component is not added to a batch by one person and verified by a second person.  Specifically, ***",1
Drugs,1398,21 CFR 211.42(c)(3),Released Material Area,"Separate or defined areas to prevent contamination or mix-ups are deficient regarding operations related to the storage of released [components] [drug product containers] [closures] [labeling].  Specifically, ***
",1
Drugs,1409,21 CFR 211.42(c)(4),In-Process Material Area,"Separate or defined areas to prevent contamination or mix-ups are deficient regarding operations related to the storage of in-process materials.  Specifically, ***",1
Drugs,1419,21 CFR 211.42(c)(8),Released Drug Products Area,"Separate or defined areas to prevent contamination or mix-ups are deficient regarding operations related to the storage of drug products after release.   Specifically,***",1
Drugs,1449,21 CFR 211.111,Deviations of production time limits,"Deviations from production time limits [are not justified] [are not documented] [compromise the quality of the drug product].  Specifically, ***",1
Drugs,1454,21 CFR 211.115(a),Reprocessing procedures not written or followed,"Procedures prescribing a system for reprocessing batches to insure that the reprocessed batches will conform with all established standards, specifications, and characteristics are  not [written] [followed].  Specifically, ***",1
Drugs,1506,21 CFR 211.122(e),Destruction of obsolete labeling,"Obsolete or outdated labels, labeling and packaging materials are not destroyed.  Specifically, ***",1
Drugs,1541,21 CFR 211.125(b),Examination of issued labels,"Labeling materials issued for a batch were not carefully examined for identity and conformity to the labeling specified in the master or batch production records.  Specifically, ***",1
Drugs,1545,21 CFR 211.125(c),Label reconciliation discrepancies evaluation/investigation,"Discrepancies found outside preset limits when reconciling the quantities of labeling issued, used and returned, were not [evaluated] [investigated].  Specifically, ***",1
Drugs,1630,21 CFR 211.130(b),Unlabeled filled containers controls,"Filled drug product containers which are set aside and held in an unlabeled condition are not [identified] [handled] to preclude mislabeling of individual containers, lots or portions of lots.  Specifically, ***",1
Drugs,1633,21 CFR 211.130(d),Examination of packaging and labeling,"Examination of packaging and labeling materials for suitability and correctness before packaging operations is [not performed] [not documented in the batch production records].  Specifically, ***",1
Drugs,1797,21 CFR 211.82(a),"Examination on receipt, before acceptance","Each container or grouping of containers of [components] [drug product containers] [closures] is not examined visually upon receipt and before acceptance for [appropriate labeling as to contents] [container damage] [broken seals]  [contamination]. Specifically, ***",1
Drugs,1802,21 CFR 211.84(b),Representative Samples,"Representative samples are not taken of each shipment of each lot of [components] [drug product containers] [closures] for testing or examination.  Specifically, ***",1
Drugs,1818,21 CFR 211.84(c)(2),Appropriate Opening of Component Containers,"The containers of components, or drug product containers or closures which are sampled are not opened in a manner to prevent [contamination of their contents] [contamination of other components] [contamination of other drug product containers] [contamination of other closures].  Specifically, ***",1
Drugs,1845,21 CFR 211.84(d)(3),Container/Closure Written Test Procedure,"Drug product container and closure test procedures are deficient in that [containers] [closures] are not tested for conformance in accordance with  appropriate written procedures.  Specifically,  ***",1
Drugs,1868,21 CFR 211.94(b),Protection from external factors,"Container closure systems do not provide adequate protection against foreseeable external factors in storage and use that can cause deterioration or contamination of the drug product.  Specifically, ***",1
Drugs,1874,21 CFR 211.180(b),Record maintenance 3 years (exempt OTC drugs),"Records for all [production] [control] [distribution] [components] [drug product containers] [closures] [labeling] associated with a batch of OTC drug product exempt from expiration dating were not maintained for 3 years after distribution of the last lot of drug product incorporating the component or using the container, closure, or labeling.  Specifically, ***",1
Drugs,1933,21 CFR 211.167(a),"Sterility/pyrogens - test methods written, followed","Test procedures relative to appropriate laboratory testing for [sterility] [pyrogens] are not [written] [followed].  Specifically, ***",1
